TT     PID     AT     CT   IO_D      WT     RT    TRT
41383     82    200     94     10    41182    185  41182
41396     51    124     98      1    41271    109  41271
41411    627   1535     84     11    39875   1510  39875
41443    566   1384     81     34    40058   1874  40058
41452    545   1329     83     19    40122   1959  40122
41456    223    562     91     15    40893   1515  40893
41479    449   1100     90      0    40378   2504  40378
41517    268    677     89      0    40839   3431  40839
41546    248    627     87     31    40918    501  40918
41567    662   1622     91      7    39944    550  39944
41604    564   1376     86     12    40227   1202  40227
41628    302    735     91      6    40892    980  40892
41643    692   1688    100      0    39954    571  39954
41657    289    710     91      0    40946   4314  40946
41679    374    915     86     38    40763   1057  40763
41681    186    462     81     12    41218   4775  41218
41693     89    210     97     20    41482    140  41482
41701    645   1587     95     17    40113      5  40113
41703    612   1494     93      0    40208    775  40208
41716    504   1227     86      8    40488   4228  40488
41736    509   1235     88     39    40500   1478  40500
41746     49    115     97     35    41630      4  41630
41814    554   1347     96      0    40466   1830  40466
41822    534   1309     94      0    40512   1901  40512
41829    546   1330     93      0    40498   1963  40498
41836    438   1073     93      0    40762   2376  40762
41839    470   1135     94      0    40703   2423  40703
41872     75    185     94     10    41686    190  41686
41877    365    894     96      0    40982   3106  40982
41889    111    270    101      0    41618    170  41618
41897    398    978     94      8    40918    243  40918
41901    485   1177     95      0    40723   3065  40723
41911    402    991     92      2    40919   3290  40919
41919     18     32     98      5    41886     47  41886
41939    671   1645     92      7    40293   2810  40293
41946    482   1171     96      1    40774   1367  40774
41978    131    322    101      0    41655    976  41655
41982    699   1707     95      0    40274   3173  40274
41992    313    758     96      1    41233    507  41233
42005    392    967     95      4    41037    981  41037
42017    136    334    103      0    41682    156  41682
42020    190    468     94     10    41551   2197  41551
42044    516   1252     99      0    40791   1486  40791
42066    420   1036     93      2    41029   1721  41029
42070    421   1036     94      8    41033   1726  41033
42073    330    795     96      1    41277   1247  41277
42080     79    196    101      0    41883    383  41883
42114    543   1325    103      0    40788    466  40788
42121    275    688     97      2    41432    459  41432
42126    284    704     96     12    41421    457  41421
42146    648   1591    100      0    40554   2082  40554
42154    267    675     98      0    41478   3428  41478
42159    399    983    104      0    41175    248  41175
42192    560   1363     98      2    40828   1191  40828
42194    561   1368     97      1    40825   1190  40825
42199    596   1452     92     34    40746   3172  40746
42201    496   1207     97      5    40993    294  40993
42214    695   1694    102      0    40519    936  40519
42216    292    712     89     23    41503   4324  41503
42220    218    548     95     25    41671    225  41671
42224    390    958     95      5    41265   4155  41265
42233    101    242     91     27    41990   5081  41990
42247    506   1227    103      0    41019   1476  41019
42250    526   1289     98      0    40960   4249  40960
42255     76    187    104      0    42067    650  42067
42257    324    780     89     14    41476   4815  41476
42276    142    352     95     27    41923   2511  41923
42285    630   1543    103      0    40741   1517  40741
42295    547   1333    104      0    40961   1839  40961
42300    532   1305    104      0    40994   1899  40994
42304    331    797    103      2    41506   1250  41506
42309    452   1103    104      4    41205    486  41205
42334    306    741    104      6    41592    509  41592
42344    666   1629    104      9    40714    567  40714
42348    680   1661     99     10    40686   2809  40686
42350    583   1421    101      1    40928    477  40928
42355     36     83    104     13    42271    170  42271
42358    688   1677     98     10    40680   3153  40680
42368    614   1498    104      2    40869    789  40869
42370    499   1214    101     12    41155   1092  41155
42373    323    777     94     23    41595   4808  41595
42376    369    905    102     23    41470      8  41470
42385    144    357     99     11    42027   2526  42027
42388    626   1530     98     11    40857   1505  40857
42398    644   1582    104      7    40815   2082  40815
42400    382    933    101      8    41466   3007  41466
42402    487   1182    101      4    41219   3065  41219
42405    326    784    102     20    41620    244  41620
42410    270    682    104      5    41727   4484  41727
42414    428   1049    103      8    41364   1752  41364
42418    641   1572    103      2    40845   2065  40845
Processes: 700
Avg WT = 25595.5,   Avg RT = 1323.26,   Avg TRT = 25595.5
Migration %:      RTF =2.14286% ,      MaxW = 596.857%
OverHeat %: 0%
Work Steal %: 496.571%
Forked Process %: 0%
